1536545,4,-1,1536540,0,0,0
1536681,5,-1,1536540,120516,120456,0
1536781,6,-1,1536540,49,0,0
1536895,7,-1,1536540,120384,120384,0
1536999,8,-1,1536540,0,0,0
1537091,9,-1,1536540,1,0,0
1537278,11,-1,1536540,1,4,0
1537353,12,-1,1536540,0,0,0
1636457,4,-1,1636454,0,0,0
1636574,5,-1,1636454,120348,120280,0
1636672,6,-1,1636454,37,0,0
1636781,7,-1,1636454,120240,120240,0
1636882,8,-1,1636454,0,0,0
1636958,2,0,1636,0,0,0
1637022,9,-1,1636454,0,1,0
1637092,12,-1,1636454,0,0,0
1736524,4,-1,1736522,0,0,0
1736625,5,-1,1736522,120240,120160,0
1736734,6,-1,1736522,4,0,0
1736827,7,-1,1736522,120196,120160,0
1736930,8,-1,1736522,0,0,0
1737005,9,-1,1736522,1,0,0
1737084,11,-1,1736522,1,5,0
1737161,12,-1,1736522,0,0,0
1836458,4,-1,1836455,0,0,0
1836564,5,-1,1836455,120160,120160,0
1836679,6,-1,1836455,8,0,0
1836770,7,-1,1836455,120112,120112,0
1836873,8,-1,1836455,0,0,0
1836943,2,0,1836,0,0,0
1837009,9,-1,1836455,0,1,0
1837082,12,-1,1836455,0,0,0
1936542,4,-1,1936539,0,0,0
1936635,5,-1,1936539,120112,120092,0
1936736,6,-1,1936539,35,0,0
1936824,7,-1,1936539,120008,120008,0
1936932,8,-1,1936539,0,0,0
1937012,9,-1,1936539,1,0,0
1937099,11,-1,1936539,1,6,0
1937175,12,-1,1936539,0,0,0
2036540,4,-1,2036537,0,0,0
2036635,5,-1,2036537,119972,119932,0
2036733,6,-1,2036537,43,0,0
2036822,7,-1,2036537,119852,119852,0
2036926,8,-1,2036537,0,0,0
2037005,2,0,2036,0,0,0
2037074,9,-1,2036537,0,1,0
2037143,12,-1,2036537,0,0,0
2136513,4,-1,2136507,0,0,0
2136601,5,-1,2136507,119852,119760,0
2136695,6,-1,2136507,1,0,0
2136788,7,-1,2136507,119808,119760,0
2136896,8,-1,2136507,0,0,0
2136970,9,-1,2136507,1,0,0
2137070,11,-1,2136507,1,7,0
2137145,12,-1,2136507,0,0,0
2236535,4,-1,2236532,0,0,0
2236635,5,-1,2236532,119772,119760,0
2236730,6,-1,2236532,38,0,0
2236820,7,-1,2236532,119664,119664,0
2236918,8,-1,2236532,0,0,0
2236989,9,-1,2236532,1,0,0
2237066,11,-1,2236532,1,8,0
2237147,12,-1,2236532,0,0,0
2336734,4,-1,2336730,0,0,0
2336852,5,-1,2336730,119628,119584,0
2336943,6,-1,2336730,6,0,0
2337030,7,-1,2336730,119584,119584,0
2337134,8,-1,2336730,0,0,0
2337209,9,-1,2336730,1,0,0
2337294,11,-1,2336730,1,9,0
2337371,12,-1,2336730,0,0,0
2436537,4,-1,2436534,0,0,0
2436633,5,-1,2436534,119548,119548,0
2436723,6,-1,2436534,47,0,0
2436887,7,-1,2436534,119420,119420,0
2437008,8,-1,2436534,0,0,0
2437085,2,0,2436,0,0,0
2437157,9,-1,2436534,0,1,0
2437228,12,-1,2436534,0,0,0
2536541,4,-1,2536538,0,0,0
2536641,5,-1,2536538,119420,119320,0
2536757,6,-1,2536538,6,0,0
2536895,7,-1,2536538,119376,119276,0
2537048,8,-1,2536538,0,0,0
2537126,9,-1,2536538,1,0,0
2537219,11,-1,2536538,1,10,0
2537294,12,-1,2536538,0,0,0
2636455,4,-1,2636452,0,0,0
2636562,5,-1,2636452,119336,119236,0
2636655,6,-1,2636452,0,0,0
2736542,4,-1,2736539,0,0,0
2736641,5,-1,2736539,119336,119236,0
2736737,6,-1,2736539,4,0,0
2736839,7,-1,2736539,119292,119236,0
2736950,8,-1,2736539,0,0,0
2737031,9,-1,2736539,1,0,0
2737116,11,-1,2736539,1,11,0
2737197,12,-1,2736539,0,0,0
2836865,4,-1,2836862,0,0,0
2836968,5,-1,2836862,119256,119236,0
2837054,6,-1,2836862,0,0,0
2936530,4,-1,2936526,0,0,0
2936639,5,-1,2936526,119256,119236,0
2936740,6,-1,2936526,8,0,0
2936831,7,-1,2936526,119208,119208,0
2936946,8,-1,2936526,0,0,0
2937024,9,-1,2936526,1,0,0
2937112,11,-1,2936526,1,12,0
2937189,12,-1,2936526,0,0,0
3036514,4,-1,3036512,0,0,0
3036614,5,-1,3036512,119172,119172,0
3036705,6,-1,3036512,4,0,0
3036803,7,-1,3036512,119128,119128,0
3036910,8,-1,3036512,0,0,0
3036992,2,0,3036,0,0,0
3037061,9,-1,3036512,0,1,0
3037143,12,-1,3036512,0,0,0
3136515,4,-1,3136507,0,0,0
3136614,5,-1,3136507,119128,119112,0
3136712,6,-1,3136507,37,0,0
3136807,7,-1,3136507,119016,119016,0
3136918,8,-1,3136507,0,0,0
3136999,9,-1,3136507,1,0,0
3137097,11,-1,3136507,1,13,0
3137182,12,-1,3136507,0,0,0
